Cycle,Battery#1,#1_SOH,Battery#2,#2_SOH,Battery#3,#3_SOH,,Battery#4,#4 SOH,Battery#5,#5 SOH,Battery#6,#6 SOH,,Battery#7,#7 SOH,Battery#8,#8 SOH,Battery#9,#9 SOH
1,1.0799223,0.981747545,1.0753012,0.977546545,1.0706892,0.973353818,,1.0639789,0.967253545,1.0640887,0.967353364,1.0733846,0.975804182,,1.0665728,0.969611636,1.0636606,0.966964182,1.063777,0.96707
2,1.0813154,0.983014,1.0766124,0.978738545,1.0719005,0.974455,,1.0679682,0.970880182,1.0672674,0.970243091,1.0766411,0.978764636,,1.0674551,0.970413727,1.0647362,0.967942,1.0650502,0.968227455
3,1.082234,0.983849091,1.0772982,0.979362,1.0725095,0.975008636,,1.0691004,0.971909455,1.0688325,0.971665909,1.0789365,0.980851364,,1.0682849,0.971168091,1.0656182,0.968743818,1.065752,0.968865455
4,1.0827312,0.984301091,1.0781505,0.980136818,1.073174,0.975612727,,1.0696262,0.972387455,1.0697515,0.972501364,1.0798079,0.981643545,,1.0687084,0.971553091,1.0662173,0.969288455,1.066355,0.969413636
5,1.0830303,0.984573,1.078544,0.980494545,1.0735761,0.975978273,,1.0712154,0.973832182,1.0698761,0.972614636,1.079951,0.981773636,,1.0690936,0.971903273,1.0665767,0.969615182,1.0665587,0.969598818
6,1.0833386,0.984853273,1.0789695,0.980881364,1.0739917,0.976356091,,1.0707663,0.973423909,1.070374,0.973067273,1.0807364,0.982487636,,1.069415,0.972195455,1.0669744,0.969976727,1.0668859,0.969896273
7,1.083684,0.985167273,1.07938,0.981254545,1.0743741,0.976703727,,1.0707738,0.973430727,1.0706325,0.973302273,1.0809997,0.982727,,1.0697305,0.972482273,1.067187,0.97017,1.0670462,0.970042
8,1.0837147,0.985195182,1.0795895,0.981445,1.0744922,0.976811091,,1.071095,0.973722727,1.0705343,0.973213,1.0806683,0.982425727,,1.0699873,0.972715727,1.0675483,0.970498455,1.0673007,0.970273364
9,1.0837817,0.985256091,1.0797766,0.981615091,1.0745373,0.976852091,,1.0709443,0.973585727,1.0709518,0.973592545,1.0813094,0.983008545,,1.0702369,0.972942636,1.0677196,0.970654182,1.0673895,0.970354091
10,1.0839587,0.985417,1.0800153,0.981832091,1.0747814,0.977074,,1.0710604,0.973691273,1.0712485,0.973862273,1.0814238,0.983112545,,1.0704191,0.973108273,1.0679353,0.970850273,1.0675322,0.970483818
11,1.0880535,0.989139545,1.0845895,0.985990455,1.5390544,1.399140364,,1.0713584,0.973962182,1.0710331,0.973666455,1.0813167,0.983015182,,1.0704424,0.973129455,1.0680144,0.970922182,1.0676036,0.970548727
12,1.0858102,0.987100182,1.0823009,0.983909909,1.0738269,0.976206273,,1.0712141,0.973831,1.0712364,0.973851273,1.0817634,0.983421273,,1.0705919,0.973265364,1.0679934,0.970903091,1.0675582,0.970507455
13,1.0857648,0.987058909,1.0819396,0.983581455,1.0750562,0.977323818,,1.0713692,0.973972,1.0713369,0.973942636,1.0819823,0.983620273,,1.0705655,0.973241364,1.0681455,0.971041364,1.0676333,0.970575727
14,1.0855526,0.986866,1.0818352,0.983486545,1.0730921,0.975538273,,1.0718962,0.974451091,1.0714058,0.974005273,1.0818508,0.983500727,,1.0704837,0.973167,1.0681577,0.971052455,1.0677133,0.970648455
15,1.0855418,0.986856182,1.0819743,0.983613,1.0758405,0.978036818,,1.071841,0.974400909,1.0716377,0.974216091,1.0821421,0.983765545,,1.0706061,0.973278273,1.0683548,0.971231636,1.0678315,0.970755909
16,1.085543,0.986857273,1.0820032,0.983639273,1.072405,0.974913636,,1.0715247,0.974113364,1.0716072,0.974188364,1.082031,0.983664545,,1.0706449,0.973313545,1.0684052,0.971277455,1.0679266,0.970842364
17,1.0856423,0.986947545,1.0819749,0.983613545,1.0761998,0.978363455,,1.0720402,0.974582,1.0716735,0.974248636,1.0821619,0.983783545,,1.0707958,0.973450727,1.0683966,0.971269636,1.0679874,0.970897636
18,1.0855848,0.986895273,1.0818729,0.983520818,1.0761871,0.978351909,,1.0720887,0.974626091,1.0718265,0.974387727,1.0823764,0.983978545,,1.0708847,0.973531545,1.0684268,0.971297091,1.0680083,0.970916636
19,1.0855571,0.986870091,1.0818582,0.983507455,1.0764284,0.978571273,,1.0722002,0.974727455,1.0719858,0.974532545,1.0817807,0.983437,,1.0707641,0.973421909,1.0684555,0.971323182,1.0679822,0.970892909
20,1.0855353,0.986850273,1.0818721,0.983520091,1.0765469,0.978679,,1.0723301,0.974845545,1.071927,0.974479091,1.0823168,0.983924364,,1.0708299,0.973481727,1.0683903,0.971263909,1.0679505,0.970864091
21,1.0855669,0.986879,1.0819227,0.983566091,1.0766536,0.978776,,1.0723156,0.974832364,1.071977,0.974524545,1.0823691,0.983971909,,1.0708976,0.973543273,1.0685091,0.971371909,1.0680176,0.970925091
22,1.0855838,0.986894364,1.0819179,0.983561727,1.0766355,0.978759545,,1.0726935,0.975175909,1.0718054,0.974368545,1.081831,0.983482727,,1.070961,0.973600909,1.0685432,0.971402909,1.0679859,0.970896273
23,1.0857264,0.987024,1.0820436,0.983676,1.0754509,0.977682636,,1.072405,0.974913636,1.0719068,0.974460727,1.0821751,0.983795545,,1.0708232,0.973475636,1.0685199,0.971381727,1.0680346,0.970940545
24,1.0858061,0.987096455,1.0820177,0.983652455,1.0766494,0.978772182,,1.0724416,0.974946909,1.0719771,0.974524636,1.0823057,0.983914273,,1.0707259,0.973387182,1.0684477,0.971316091,1.0680013,0.970910273
25,1.0858525,0.987138636,1.0820863,0.983714818,1.076545,0.978677273,,1.0729172,0.975379273,1.0716343,0.974213,1.0818207,0.983473364,,1.0708826,0.973529636,1.0685261,0.971387364,1.0680106,0.970918727
26,1.0858128,0.987102545,1.0821023,0.983729364,1.0765674,0.978697636,,1.0726565,0.975142273,1.0720184,0.974562182,1.0823706,0.983973273,,1.0707502,0.973409273,1.0684638,0.971330727,1.0679696,0.970881455
27,1.0857804,0.987073091,1.0820186,0.983653273,1.0765301,0.978663727,,1.0729313,0.975392091,1.0720907,0.974627909,1.0825263,0.984114818,,1.0709372,0.973579273,1.068436,0.971305455,1.0679426,0.970856909
28,1.0857626,0.987056909,1.0819744,0.983613091,1.0764797,0.978617909,,1.0730788,0.975526182,1.0717306,0.974300545,1.0819838,0.983621636,,1.0711445,0.973767727,1.0683317,0.971210636,1.0679771,0.970888273
29,1.0857949,0.987086273,1.081928,0.983570909,1.0765879,0.978716273,,1.0727284,0.975207636,1.071992,0.974538182,1.082377,0.983979091,,1.0713712,0.973973818,1.068195,0.971086364,1.0680169,0.970924455
30,1.0858704,0.987154909,1.0819486,0.983589636,1.0766202,0.978745636,,1.0726992,0.975181091,1.0720289,0.974571727,1.0822917,0.983901545,,1.071273,0.973884545,1.0684925,0.971356818,1.0679865,0.970896818
31,1.0857939,0.987085364,1.0819107,0.983555182,1.0766256,0.978750545,,1.0725735,0.975066818,1.0716764,0.974251273,1.0820007,0.983637,,1.0711744,0.973794909,1.0686032,0.971457455,1.068059,0.970962727
32,1.0858334,0.987121273,1.081911,0.983555455,1.0766001,0.978727364,,1.0726168,0.975106182,1.0718075,0.974370455,1.082469,0.984062727,,1.0712644,0.973876727,1.0685759,0.971432636,1.0680482,0.970952909
33,1.0858121,0.987101909,1.0819156,0.983559636,1.0766319,0.978756273,,1.0721897,0.974717909,1.0716922,0.974265636,1.0824492,0.984044727,,1.0712545,0.973867727,1.0685992,0.971453818,1.0681109,0.971009909
34,1.085746,0.987041818,1.0819073,0.983552091,1.0766066,0.978733273,,1.0725096,0.975008727,1.071767,0.974333636,1.0824075,0.984006818,,1.0711246,0.973749636,1.0687144,0.971558545,1.0680823,0.970983909
35,1.0857704,0.987064,1.0818235,0.983475909,1.076661,0.978782727,,1.0720521,0.974592818,1.0716639,0.974239909,1.0825063,0.984096636,,1.0711483,0.973771182,1.0685532,0.971412,1.0680426,0.970947818
36,1.0857365,0.987033182,1.0818033,0.983457545,1.0766382,0.978762,,1.0721742,0.974703818,1.0718027,0.974366091,1.0822048,0.983822545,,1.0711002,0.973727455,1.0686525,0.971502273,1.0679861,0.970896455
37,1.0857095,0.987008636,1.081722,0.983383636,1.0766717,0.978792455,,1.0726833,0.975166636,1.0717899,0.974354455,1.0824207,0.984018818,,1.0710839,0.973712636,1.0686617,0.971510636,1.0679315,0.970846818
38,1.0857694,0.987063091,1.0817708,0.983428,1.0766507,0.978773364,,1.0726868,0.975169818,1.07188,0.974436364,1.0823848,0.983986182,,1.0710198,0.973654364,1.0685281,0.971389182,1.0679085,0.970825909
39,1.0857872,0.987079273,1.0817635,0.983421364,1.0767151,0.978831909,,1.0733851,0.975804636,1.0721645,0.974695,1.0819417,0.983583364,,1.0709572,0.973597455,1.0684588,0.971326182,1.0678796,0.970799636
40,1.0858465,0.987133182,1.0818429,0.983493545,1.0766989,0.978817182,,1.0732021,0.975638273,1.0719416,0.974492364,1.0821595,0.983781364,,1.0710604,0.973691273,1.0685894,0.971444909,1.0679001,0.970818273
